gene,group,oddsRatio,lowerLimit,upperLimit,gear,gear2,gear3,gear4,gear5,color,color2,color3,color4,color5
BRCA1,African American,129.7,28,150,,,,,,,,,,
BRCA2,African American,9.38,4.76,19.62,,,,,,,,,,
PALB2,African American,15.57,6.09,47.97,,,,,,,,,,
Susceptibility genes,African American,1.82,0.92,3.61,6,,,,,"""#CC99FF""",,,,
BRCA1,GBHS,28.62,8.15,100.57,,,,,,,,,,
BRCA2,GBHS,5.62,2.12,14.88,,,,,,,,,,
PALB2,GBHS,5.02,0.31,82.59,,,,,,,,,,
Susceptibility genes,GBHS,,,,,6,,,,,"""#FF9999""",,,
BRCA1,BCAC - PTV,35.32,26.21,47.6,,,,,,,,,,
BRCA2,BCAC - PTV,7.53,5.89,9.62,,,,,,,,,,
PALB2,BCAC - PTV,6.72,4.54,9.95,,,,,,,,,,
Susceptibility genes,BCAC - PTV,2.03,1.68,2.47,,,6,,,,,"""#0066FF""",,
BRCA1,BCAC - Pathogenic missense variants,53.72,18.85,153.15,,,,,,,,,,
BRCA2,BCAC - Pathogenic missense variants,5.09,1.81,14.35,,,,,,,,,,
PALB2,BCAC - Pathogenic missense variants,,,,,,,,,,,,,
Susceptibility genes,BCAC - Pathogenic missense variants,,,,,,,6,,,,,"""#0066FF""",
BRCA1,Carriers,26.33,17.28,41.28,,,,,,,,,,
BRCA2,Carriers,8.89,6.36,12.47,,,,,,,,,,
PALB2,Carriers,9.22,5.63,15.25,,,,,,,,,,
Susceptibility genes,Carriers,1.64,1.23,2.18,,,,,,,,,,
